A0 0111 - GC Badging/Fingerprinti,2579
A0 0190 - GC Supervision,17476
A0 0195 - GC Stocker/Scrapper,6806
AA 2100 - Area A Demolition,2435
AA 5100 - Area A Ext Frame Layout,584
AA 5250 - Area A Ext Track Labor,1669
AA 5400 - Area A Ext Frame Labor,3635
AA 5450 - Area A Sheathing Labor,2378
AA 5460 - Area A Ext Firetape Labor,3272
AA 7100 - Area A Ext Insulation Labor,2153
AA 7200 - Area A Int Insulation Labor,3579
AA 9200 - Area A Int Layout,909
AA 9201 - Area A Int Frame Labor,11479
AA 9202 - Area A Int Track Labor,5193
AA 9206 - Area A Int Backing Labor,2019
AA 9240 - Area A Drywall Top Out Labor,6543
AA 9250 - Area A Drywall Hang Labor,6350
AA 9280 - Area A Tape Walls Labor,21249
AB 2100 - Area B Demolition,1992
AB 5100 - Area B Ext Frame Layout,461
AB 5250 - Area B Ext Track Labor,1316
AB 5400 - Area B Ext Frame Labor,2866
AB 5450 - Area B Sheathing Labor,1874
AB 5460 - Area B Ext Firetape Labor,2579
AB 7100 - Area B Ext Insulation Labor,1697
AB 7200 - Area B Int Insulation Labor,3318
AB 9200 - Area B Int Layout,970
AB 9201 - Area B Int Frame Labor,12845
AB 9202 - Area B Int Track Labor,5545
AB 9203 - Area B Int Shaft Wall Labor,2364
AB 9206 - Area B Int Backing Labor,2156
AB 9240 - Area B Drywall Top Out Labor,6585
AB 9250 - Area B Drywall Hang Labor,6305
AB 9280 - Area B Tape Walls Labor,21186
AC 2100 - Area C Demolition,2324
AC 5100 - Area C Ext Frame Layout,605
AC 5250 - Area C Ext Track Labor,1729
AC 5400 - Area C Ext Frame Labor,3765
AC 5450 - Area C Sheathing Labor,2462
AC 5460 - Area C Ext Firetape Labor,3388
AC 7100 - Area C Ext Insulation Labor,2230
AC 7200 - Area C Int Insulation Labor,3501
AC 9200 - Area C Int Layout,1154
AC 9201 - Area C Int Frame Labor,12580
AC 9202 - Area C Int Track Labor,6571
AC 9206 - Area C Int Backing Labor,2564
AC 9215 - Area C Int Frame Ceilings Labor,16816
AC 9240 - Area C Drywall Top Out Labor,6626
AC 9250 - Area C Drywall Hang Labor,7858
AC 9255 - Area C Ceiling Hang Labor,1575
AC 9280 - Area C Tape Walls Labor,24026
AC 9285 - Area C Tape Ceilings Labor,1838
AD 0111 - Alt 2 Badging/Fingerprinting,430
AD 0190 - Alt 2 Supervision,1515
AD 0195 - Alt 2 Stocker/Scrapper,590
AD 5450 - Alt 2 Sheathing Labor,8599
AD 6200 - Alt 2 Rough Carpentry Labor,13778
